Date,Open,High,Low,Close,Adj Close,Volume
2021-03-31,50267.820313,51103.472656,49192.605469,50240.558594,50240.558594,55870132689
2021-04-01,50247.152344,50761.316406,49843.746094,50172.636719,50172.636719,52357428406
2021-04-02,50175.242188,51184.921875,50011.335938,50497.273438,50497.273438,49939060095
2021-04-03,50508.406250,51117.230469,48985.828125,48985.828125,48985.828125,50718462577
2021-04-04,48986.636719,50099.722656,48610.753906,49933.199219,49933.199219,43127215841
2021-04-05,49935.167969,50707.925781,49086.757813,49976.843750,49976.843750,51371772183
2021-04-06,50073.359375,50336.082031,48681.750000,49008.613281,49008.613281,55632948185
2021-04-07,49003.687500,49448.039063,46868.351563,47210.019531,47210.019531,63716039208
2021-04-08,47252.957031,48956.292969,47064.214844,48948.378906,48948.378906,44525448347
2021-04-09,48950.570313,49553.621094,48623.292969,48942.109375,48942.109375,39203438637
2021-04-10,48949.484375,51489.554688,48768.765625,50242.222656,50242.222656,48935806674
2021-04-11,50286.753906,51080.238281,49820.031250,50609.195313,50609.195313,38903874523
2021-04-12,50584.800781,51569.789063,50031.359375,50273.605469,50273.605469,43504171884
2021-04-13,50270.722656,53385.500000,50268.011719,53123.628906,53123.628906,58544448796
2021-04-14,53140.605469,54238.394531,51406.687500,52664.093750,52664.093750,64632348372
2021-04-15,52635.304688,53314.902344,51988.964844,52896.386719,52896.386719,50925008589
2021-04-16,52850.015625,53170.593750,50238.839844,51386.250000,51386.250000,70347656605
2021-04-17,51350.472656,52222.050781,50376.921875,50646.050781,50646.050781,55198680900
2021-04-18,50661.125000,50957.882813,44089.468750,46968.792969,46968.792969,81435535596
2021-04-19,46948.238281,47856.800781,45194.273438,46276.832031,46276.832031,54266362065
2021-04-20,46241.558594,47416.250000,44285.183594,46933.718750,46933.718750,56388351851
2021-04-21,46932.136719,47150.945313,44614.332031,44784.207031,44784.207031,45632040957
2021-04-22,44743.515625,45998.468750,42088.261719,43083.343750,43083.343750,62257219154
2021-04-23,43064.644531,43369.867188,39590.523438,42231.406250,42231.406250,71635900305
2021-04-24,42272.382813,42292.500000,40344.449219,41374.101563,41374.101563,40517390980
2021-04-25,41375.722656,41750.347656,38988.304688,40534.261719,40534.261719,38146139981
2021-04-26,40595.089844,44895.039063,40397.453125,44721.855469,44721.855469,48250384085
2021-04-27,44728.933594,45835.480469,44169.453125,45522.515625,45522.515625,40902778693
2021-04-28,45525.425781,46368.160156,44676.156250,45178.683594,45178.683594,39555208147
2021-04-29,45206.195313,45418.046875,43228.152344,44170.968750,44170.968750,38013043148
2021-04-30,44182.148438,48172.300781,43821.453125,48047.050781,48047.050781,43592419889
2021-05-01,48017.503906,48626.093750,47464.640625,48110.046875,48110.046875,35637765742
2021-05-02,48108.226563,48172.062500,46707.257813,47088.570313,47088.570313,31744398004
2021-05-03,47079.585938,48963.945313,47073.019531,47432.769531,47432.769531,42882603410
2021-05-04,47444.285156,47444.285156,44272.710938,44387.261719,44387.261719,57063525891
2021-05-05,44319.539063,48266.921875,44082.382813,47823.058594,47823.058594,57664584035
2021-05-06,47837.464844,48438.109375,45928.214844,46742.558594,46742.558594,57622289161
2021-05-07,46757.011719,48207.121094,45848.589844,47155.507813,47155.507813,56262963885
2021-05-08,47152.519531,48888.773438,46842.113281,48345.464844,48345.464844,53754552145
2021-05-09,48405.984375,48680.167969,46436.621094,47846.523438,47846.523438,54152166217
2021-05-10,47861.769531,48969.011719,44531.683594,46010.484375,46010.484375,59120762102
2021-05-11,46000.144531,46813.101563,44963.070313,46692.531250,46692.531250,50483479328
2021-05-12,46700.730469,47802.058594,40695.511719,40695.511719,40695.511719,62276624480
2021-05-13,41179.792969,42440.085938,38911.718750,41166.695313,41166.695313,80088403142
2021-05-14,41139.199219,42387.117188,40433.863281,41072.777344,41072.777344,45895537365
2021-05-15,41052.160156,41692.800781,38419.660156,38498.738281,38498.738281,48708651090
2021-05-16,38462.882813,40935.656250,36193.972656,38235.890625,38235.890625,52714920923
2021-05-17,38202.839844,38381.210938,34720.687500,35814.085938,35814.085938,61615957700
2021-05-18,35773.406250,37621.695313,34661.671875,35106.796875,35106.796875,45970310804
2021-05-19,35135.902344,35623.292969,25122.685547,30403.203125,30403.203125,103822637268
2021-05-20,30198.798828,34775.445313,28776.099609,33359.136719,33359.136719,72212157773
2021-05-21,33207.167969,34471.406250,27599.712891,30627.822266,30627.822266,67365854372
2021-05-22,30682.289063,31880.994141,29050.640625,30818.250000,30818.250000,47107774121
2021-05-23,30813.994141,31436.136719,25635.583984,28545.537109,28545.537109,64420763233
2021-05-24,28487.888672,32608.726563,28367.058594,31689.203125,31689.203125,55148369255
2021-05-25,31762.726563,32553.679688,29847.703125,31356.951172,31356.951172,45899277730
2021-05-26,31349.113281,33317.406250,30937.226563,32229.533203,32229.533203,42115156993
2021-05-27,32248.144531,33136.605469,30561.308594,31524.041016,31524.041016,35439432785
2021-05-28,31581.544922,31880.820313,28524.933594,29278.320313,29278.320313,45273872634
2021-05-29,29267.289063,30538.730469,27634.851563,28391.164063,28391.164063,37097255900
2021-05-30,28384.060547,29854.845703,27492.804688,29269.517578,29269.517578,25961716928
2021-05-31,29253.490234,30627.595703,28073.394531,30519.308594,30519.308594,31890238366
2021-06-01,30487.376953,30987.251953,29266.427734,30026.794922,30026.794922,28352541166
2021-06-02,30039.070313,31297.398438,29425.509766,30775.011719,30775.011719,27085867000
2021-06-03,30794.857422,32362.988281,30512.013672,32321.550781,32321.550781,29231892311
2021-06-04,32349.347656,32349.347656,29476.158203,30322.699219,30322.699219,34380052740
2021-06-05,30310.988281,31165.554688,28685.556641,29221.080078,29221.080078,29556026133
2021-06-06,29210.107422,29948.041016,29023.330078,29474.392578,29474.392578,23763233981
2021-06-07,29452.109375,30251.599609,27464.539063,27526.492188,27526.492188,27627564851
2021-06-08,27550.125000,27898.205078,25546.294922,27497.933594,27497.933594,40994783948
2021-06-09,27452.214844,30822.648438,26666.550781,30664.527344,30664.527344,44317811472
2021-06-10,30700.980469,31523.427734,29443.958984,30150.488281,30150.488281,35796883045
2021-06-11,30145.914063,30952.896484,29583.445313,30832.054688,30832.054688,31959597293
2021-06-12,30836.796875,30893.599609,28679.753906,29360.513672,29360.513672,31319155285
2021-06-13,29363.216797,32476.566406,28792.001953,32286.505859,32286.505859,33584024683
2021-06-14,32219.707031,33787.605469,32036.111328,33178.515625,33178.515625,35595999202
2021-06-15,33350.675781,34060.750000,32670.287109,33325.593750,33325.593750,38285621503
2021-06-16,33129.648438,33403.488281,31836.445313,31969.333984,31969.333984,32690112796
2021-06-17,31964.630859,33063.339844,31455.691406,31943.062500,31943.062500,31139872254
2021-06-18,31981.654297,32063.857422,29697.769531,30165.855469,30165.855469,30514524304
2021-06-19,30222.572266,30728.855469,29443.714844,30019.226563,30019.226563,26303398991
2021-06-20,29974.783203,30407.736328,28178.593750,30071.781250,30071.781250,30885305655
2021-06-21,30023.638672,30090.087891,26268.650391,26591.064453,26591.064453,44330653066
2021-06-22,26545.466797,27878.634766,24278.269531,27232.396484,27232.396484,49398801919
2021-06-23,27240.820313,29078.558594,26618.443359,28266.576172,28266.576172,38822908066
2021-06-24,28232.855469,29537.806641,27162.224609,29059.703125,29059.703125,27769406264
2021-06-25,29056.910156,29710.101563,26262.509766,26502.841797,26502.841797,33701267547
2021-06-26,26466.722656,27343.607422,25288.423828,26965.501953,26965.501953,32326643063
2021-06-27,27050.326172,29021.041016,26869.558594,29013.742188,29013.742188,29735530456
2021-06-28,29038.423828,29497.716797,28473.472656,28866.302734,28866.302734,28412102661
2021-06-29,28900.861328,30720.148438,28753.523438,30139.980469,30139.980469,31848900087
2021-06-30,30174.105469,30306.333984,28768.814453,29555.054688,29555.054688,28726957762
2021-07-01,29550.958984,29550.958984,27761.310547,28341.414063,28341.414063,31943458371
2021-07-02,28322.404297,28654.990234,27679.820313,28569.314453,28569.314453,32641787035
2021-07-03,28533.386719,29422.431641,28152.660156,29219.554688,29219.554688,20551434327
2021-07-04,29217.039063,30280.455078,28990.246094,29764.078125,29764.078125,21022831221
2021-07-05,29761.179688,29761.179688,27983.937500,28444.033203,28444.033203,22523224003
2021-07-06,28425.074219,29579.671875,28427.511719,28957.701172,28957.701172,22415984656
2021-07-07,28949.654297,29601.759766,28694.296875,28707.894531,28707.894531,21025989867
2021-07-08,28736.962891,28757.296875,27150.162109,27752.710938,27752.710938,25248203553
2021-07-09,27739.457031,28662.384766,27293.294922,28454.882813,28454.882813,23098660464
2021-07-10,28466.023438,28802.804688,27882.490234,28223.070313,28223.070313,19341490472
2021-07-11,28213.437500,29119.490234,28076.751953,28840.886719,28840.886719,16937803944
2021-07-12,28852.535156,29151.085938,27565.923828,27948.556641,27948.556641,20501686427
2021-07-13,27922.947266,28141.904297,27391.365234,27772.195313,27772.195313,16238387526
2021-07-14,27790.726563,27938.832031,26849.878906,27737.478516,27737.478516,18064857618
2021-07-15,27742.146484,28025.533203,26415.396484,26906.457031,26906.457031,18033620233
2021-07-16,26957.949219,27281.773438,26353.808594,26616.242188,26616.242188,20075115913
2021-07-17,26595.718750,27051.980469,26448.906250,26710.714844,26710.714844,16005403695
2021-07-18,26711.408203,27444.216797,26441.707031,26917.812500,26917.812500,15905101628
2021-07-19,26920.523438,27015.613281,25876.175781,26134.539063,26134.539063,17329375882
2021-07-20,26151.882813,26284.099609,24936.054688,25299.851563,25299.851563,19647763124
2021-07-21,25290.460938,27762.083984,25073.488281,27227.458984,27227.458984,23914049599
2021-07-22,27251.353516,27691.796875,26923.949219,27447.947266,27447.947266,16610936345
2021-07-23,27441.876953,28527.830078,27234.623047,28527.830078,28527.830078,19158166209
2021-07-24,28538.175781,29300.416016,28395.220703,29132.255859,29132.255859,18404688435
