Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,1636.480713,1689.147339,1624.913818,1678.718018,1678.718018,26246361138
2021-04-02,1678.425781,1830.425781,1665.659302,1822.485474,1822.485474,29645231660
2021-04-03,1822.205078,1823.962402,1724.952148,1724.952148,1724.952148,27222307544
2021-04-04,1724.313477,1794.625488,1706.829834,1778.742065,1778.742065,22100403336
2021-04-05,1778.859253,1812.699463,1729.155396,1783.767822,1783.767822,24447213937
2021-04-06,1785.126831,1820.984741,1737.097412,1784.062744,1784.062744,24611000856
2021-04-07,1783.515015,1797.016357,1639.803467,1660.238403,1660.238403,30420735851
2021-04-08,1658.600952,1755.144043,1650.036621,1752.835449,1752.835449,21243898767
2021-04-09,1753.002197,1768.918457,1727.724487,1741.151611,1741.151611,16648024049
2021-04-10,1740.313599,1846.092041,1733.319092,1794.759644,1794.759644,20995090974
2021-04-11,1794.940063,1820.254883,1781.251099,1813.758911,1813.758911,16554093445
2021-04-12,1813.510620,1851.973999,1771.981812,1795.738892,1795.738892,18238082343
2021-04-13,1795.748047,1941.243652,1795.577393,1923.378662,1923.378662,24641866281
2021-04-14,1923.512573,2044.803223,1910.724609,2032.058594,2032.058594,29701676890
2021-04-15,2032.834351,2125.931396,2010.377930,2104.623291,2104.623291,27006783797
2021-04-16,2102.522705,2130.138672,1934.994629,2029.607666,2029.607666,30208544642
2021-04-17,2027.967285,2084.290283,1947.666016,1957.023560,1957.023560,26998794725
2021-04-18,1958.323364,1974.187256,1678.942139,1869.134644,1869.134644,42356968153
2021-04-19,1869.883057,1904.216553,1734.574463,1798.935303,1798.935303,28286045588
2021-04-20,1795.406372,1948.933838,1706.963013,1936.596313,1936.596313,32772458181
2021-04-21,1937.385132,2050.270996,1864.219360,1964.593262,1964.593262,32316645215
2021-04-22,1958.876831,2198.476318,1926.994629,2000.536865,2000.536865,44592886355
2021-04-23,1998.640015,2029.987549,1756.581909,1953.619751,1953.619751,45802331672
2021-04-24,1956.606201,1957.053955,1788.597534,1828.220581,1828.220581,26332010008
2021-04-25,1830.525269,1945.984497,1796.089966,1915.747314,1915.747314,26315498705
2021-04-26,1918.574829,2099.704346,1908.796631,2098.168213,2098.168213,29147176981
2021-04-27,2097.795166,2216.489502,2059.125732,2202.679443,2202.679443,26698165319
2021-04-28,2204.185303,2274.146729,2125.769775,2263.173828,2263.173828,28239634942
2021-04-29,2265.043945,2306.956299,2202.390381,2273.805908,2273.805908,26869658091
2021-04-30,2274.512939,2311.778076,2250.240967,2307.255615,2307.255615,24774047901
2021-05-01,2306.948730,2455.451416,2292.778076,2450.835449,2450.835449,23898766476
2021-05-02,2450.558838,2481.266113,2379.814697,2454.625732,2454.625732,23308534752
2021-05-03,2453.893799,2861.085449,2453.893799,2845.193848,2845.193848,40777288415
2021-05-04,2845.231689,2931.764404,2646.660889,2707.859131,2707.859131,51934601299
2021-05-05,2696.977539,2949.500000,2674.036133,2933.794922,2933.794922,40253010418
2021-05-06,2935.583496,2986.147949,2816.403564,2893.311523,2893.311523,36717053208
2021-05-07,2892.668945,2943.065186,2792.643066,2864.966309,2864.966309,32563053182
2021-05-08,2862.713135,3247.624268,2839.512451,3208.557861,3208.557861,41278860903
2021-05-09,3215.805420,3273.188232,3078.116943,3228.131348,3228.131348,41549385139
2021-05-10,3224.490234,3451.905518,3034.407471,3255.417480,3255.417480,51637847385
2021-05-11,3252.104736,3439.919434,3115.560059,3432.654297,3432.654297,43378339949
2021-05-12,3437.541260,3608.697754,3134.595459,3134.595459,3134.595459,57149772903
2021-05-13,3170.256348,3337.301270,2941.780518,3076.269287,3076.269287,64916387177
2021-05-14,3080.387695,3435.762695,3067.255859,3358.789795,3358.789795,39667802927
2021-05-15,3356.232178,3399.653320,2995.349609,2995.349609,2995.349609,34927273211
2021-05-16,2998.403076,3193.584229,2758.758057,2952.714844,2952.714844,38979455769
2021-05-17,2947.642334,2953.502441,2573.922607,2700.110352,2700.110352,44471343565
2021-05-18,2695.564941,2916.091553,2670.501709,2765.441406,2765.441406,33067224689
2021-05-19,2767.558105,2812.434326,1598.717407,2021.826904,2021.826904,69415723214
2021-05-20,2004.538940,2451.263184,1781.065796,2277.474609,2277.474609,55303763121
2021-05-21,2267.697510,2401.594727,1735.096069,1995.583862,1995.583862,44149480062
2021-05-22,2000.011841,2039.394897,1780.069092,1884.815674,1884.815674,34556596438
2021-05-23,1887.000732,1957.644897,1426.347168,1731.897583,1731.897583,45978905560
2021-05-24,1723.980225,2187.848389,1716.141235,2164.350342,2164.350342,43962692723
2021-05-25,2168.805908,2250.743408,1954.282593,2210.070801,2210.070801,40466361437
2021-05-26,2210.416748,2378.777344,2164.533447,2369.342529,2369.342529,34858775587
2021-05-27,2369.386475,2369.386475,2168.217529,2244.328369,2244.328369,27371353604
2021-05-28,2249.233154,2265.709717,1916.227417,1984.749023,1984.749023,32806313984
2021-05-29,1979.959961,2105.333740,1811.344604,1869.595947,1869.595947,27700293434
2021-05-30,1868.590820,2027.621704,1795.223022,1960.951538,1960.951538,21228583416
2021-05-31,1958.402710,2220.086426,1867.851685,2219.446045,2219.446045,25348287666
2021-06-01,2213.409180,2240.217773,2071.309570,2155.548096,2155.548096,22396934915
2021-06-02,2156.315430,2293.429932,2090.678711,2216.384033,2216.384033,22706049048
2021-06-03,2218.227783,2369.739014,2185.623047,2353.609375,2353.609375,24761846081
2021-06-04,2355.290283,2355.290283,2114.824219,2209.368408,2209.368408,28086728595
2021-06-05,2212.182861,2315.764160,2102.678711,2162.139404,2162.139404,25066008226
2021-06-06,2161.458740,2254.905518,2150.291992,2231.466797,2231.466797,20803003643
